ID,Name,Sex,Age,Height,Weight,Team,country,Games,Year,Season,City,Sport,Event,Medal
111681,Stian Skjerahaug,M,24.0,168.0,61.0,Norway,NOR,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Floor Exercise,
111681,Stian Skjerahaug,M,24.0,168.0,61.0,Norway,NOR,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Parallel Bars,
111681,Stian Skjerahaug,M,24.0,168.0,61.0,Norway,NOR,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Horizontal Bar,
111681,Stian Skjerahaug,M,24.0,168.0,61.0,Norway,NOR,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Rings,
111681,Stian Skjerahaug,M,24.0,168.0,61.0,Norway,NOR,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Pommelled Horse,
111682,"Hermund ""Herman"" Skjerven",M,39.0,,,Norway,NOR,1912 Summer,1912,Summer,Stockholm,Shooting,"Shooting Men's Military Rifle, Three Positions, 300 metres",
111684,Bjrg Skjlaaen,F,18.0,,,Norway,NOR,1952 Winter,1952,Winter,Oslo,Figure Skating,Figure Skating Mixed Pairs,
111685,Bjrn Skjrpe,M,24.0,,,Norway,NOR,1920 Summer,1920,Summer,Antwerpen,Gymnastics,"Gymnastics Men's Team All-Around, Free System",Silver
111686,Anne Brit Skjveland (-Sandberg),F,30.0,166.0,54.0,Norway,NOR,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Women's Heptathlon,
111687,Tom Skjnberg,M,27.0,190.0,84.0,Norway,NOR,1976 Summer,1976,Summer,Montreal,Sailing,Sailing Mixed One Person Dinghy,
111707,Vibeke Westbye Skofterud,F,21.0,165.0,62.0,Norway,NOR,2002 Winter,2002,Winter,Salt Lake City,Cross Country Skiing,Cross Country Skiing Women's Sprint,
111707,Vibeke Westbye Skofterud,F,21.0,165.0,62.0,Norway,NOR,2002 Winter,2002,Winter,Salt Lake City,Cross Country Skiing,Cross Country Skiing Women's 15 kilometres,
111707,Vibeke Westbye Skofterud,F,21.0,165.0,62.0,Norway,NOR,2002 Winter,2002,Winter,Salt Lake City,Cross Country Skiing,Cross Country Skiing Women's 30 kilometres,
111707,Vibeke Westbye Skofterud,F,21.0,165.0,62.0,Norway,NOR,2002 Winter,2002,Winter,Salt Lake City,Cross Country Skiing,Cross Country Skiing Women's 5/5 kilometres Pursuit,
111707,Vibeke Westbye Skofterud,F,29.0,165.0,62.0,Norway,NOR,2010 Winter,2010,Winter,Vancouver,Cross Country Skiing,Cross Country Skiing Women's 10 kilometres,
111707,Vibeke Westbye Skofterud,F,29.0,165.0,62.0,Norway,NOR,2010 Winter,2010,Winter,Vancouver,Cross Country Skiing,Cross Country Skiing Women's 15 km Skiathlon,
111707,Vibeke Westbye Skofterud,F,29.0,165.0,62.0,Norway,NOR,2010 Winter,2010,Winter,Vancouver,Cross Country Skiing,Cross Country Skiing Women's 4 x 5 kilometres Relay,Gold
111708,Inge Harald Skog,M,23.0,191.0,81.0,Norway,NOR,1972 Summer,1972,Summer,Munich,Boxing,Boxing Men's Light-Heavyweight,
111710,"Engebret Engebretsen ""Embret"" Skogen",M,24.0,,,Norway,NOR,1912 Summer,1912,Summer,Stockholm,Shooting,"Shooting Men's Free Rifle, Three Positions, 300 metres",
111710,"Engebret Engebretsen ""Embret"" Skogen",M,24.0,,,Norway,NOR,1912 Summer,1912,Summer,Stockholm,Shooting,"Shooting Men's Military Rifle, Three Positions, 300 metres",Bronze
111714,Anders Kenneth Skoglund,M,22.0,178.0,74.0,Norway,NOR,1976 Summer,1976,Summer,Montreal,Shooting,"Shooting Mixed Running Target, 50 metres",
111714,Anders Kenneth Skoglund,M,31.0,178.0,74.0,Norway,NOR,1984 Summer,1984,Summer,Los Angeles,Shooting,"Shooting Men's Running Target, 50 metres",
111755,Annette Skotvoll,F,20.0,176.0,70.0,Norway,NOR,1988 Summer,1988,Summer,Seoul,Handball,Handball Women's Handball,Silver
111755,Annette Skotvoll,F,23.0,176.0,70.0,Norway,NOR,1992 Summer,1992,Summer,Barcelona,Handball,Handball Women's Handball,Silver
111755,Annette Skotvoll,F,27.0,176.0,70.0,Norway,NOR,1996 Summer,1996,Summer,Atlanta,Handball,Handball Women's Handball,
111757,Per Skou,M,20.0,,,Norway,NOR,1912 Summer,1912,Summer,Stockholm,Football,Football Men's Football,
111757,Per Skou,M,28.0,,,Norway,NOR,1920 Summer,1920,Summer,Antwerpen,Football,Football Men's Football,
111759,Henrik Sofus Skougaard,M,26.0,,,Norway,NOR,1936 Summer,1936,Summer,Berlin,Equestrianism,"Equestrianism Men's Jumping, Individual",
111759,Henrik Sofus Skougaard,M,26.0,,,Norway,NOR,1936 Summer,1936,Summer,Berlin,Equestrianism,"Equestrianism Men's Jumping, Team",
111784,Trond Skramstad,M,23.0,184.0,85.0,Norway,NOR,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's Decathlon,
111787,John Skrataas,M,17.0,,,Norway,NOR,1908 Summer,1908,Summer,London,Gymnastics,Gymnastics Men's Individual All-Around,
111787,John Skrataas,M,17.0,,,Norway,NOR,1908 Summer,1908,Summer,London,Gymnastics,Gymnastics Men's Team All-Around,Silver
111791,Thore Skredegaard,M,38.0,,,Norway,NOR,1948 Summer,1948,Summer,London,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",
111823,Per-ge Skrder,M,31.0,180.0,92.0,Norway,NOR,2010 Winter,2010,Winter,Vancouver,Ice Hockey,Ice Hockey Men's Ice Hockey,
111823,Per-ge Skrder,M,35.0,180.0,92.0,Norway,NOR,2014 Winter,2014,Winter,Sochi,Ice Hockey,Ice Hockey Men's Ice Hockey,
111827,Brre Skui,M,26.0,190.0,90.0,Norway,NOR,1984 Summer,1984,Summer,Los Angeles,Sailing,Sailing Mixed Three Person Keelboat,
111833,Fritz Ludvig Fredrik Skullerud,M,21.0,,,Norway,NOR,1906 Summer,1906,Summer,Athina,Athletics,Athletics Men's 5 mile,
111854,Olivius Arntsen Skymoen,M,50.0,,,Norway,NOR,1908 Summer,1908,Summer,London,Shooting,"Shooting Men's Free Rifle, Three Positions, 300 metres",
111854,Olivius Arntsen Skymoen,M,50.0,,,Norway,NOR,1908 Summer,1908,Summer,London,Shooting,"Shooting Men's Free Rifle, 1,000 Yards",
111855,Jan Roger Skyttester,M,28.0,,,Norway,NOR,1984 Summer,1984,Summer,Los Angeles,Archery,Archery Men's Individual,
111904,Simon Kaurin Slttvik,M,34.0,,,Norway,NOR,1952 Winter,1952,Winter,Oslo,Cross Country Skiing,Cross Country Skiing Men's 18 kilometres,
111904,Simon Kaurin Slttvik,M,34.0,,,Norway,NOR,1952 Winter,1952,Winter,Oslo,Nordic Combined,Nordic Combined Men's Individual,Gold
111940,Arne Bernhard Sletsje,M,24.0,193.0,87.0,Norway,NOR,1984 Summer,1984,Summer,Los Angeles,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",
111940,Arne Bernhard Sletsje,M,28.0,193.0,87.0,Norway,NOR,1988 Summer,1988,Summer,Seoul,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",
